index,feature,importance
16,marital-status_1,0.43815115
2,education-num,0.050650302
3,capital-gain,0.04620448
24,occupation_2,0.041201245
30,occupation_8,0.040860996
31,occupation_9,0.022809887
5,hours-per-week,0.021459207
34,occupation_12,0.02101484
0,age,0.020941501
4,capital-loss,0.018319484
15,marital-status_0,0.015664151
37,relationship_0,0.014377845
40,relationship_3,0.012599035
26,occupation_4,0.012451144
48,sex_0,0.011863327
32,occupation_10,0.00999454
12,workclass_6,0.009488444
53,native-country_3,0.0084298765
21,marital-status_6,0.008252382
10,workclass_4,0.008133866
46,race_3,0.006732594
49,sex_1,0.006471491
9,workclass_3,0.006429714
42,relationship_5,0.006113542
27,occupation_5,0.0058662733
22,occupation_0,0.005790162
38,relationship_1,0.0055004214
25,occupation_3,0.005338028
33,occupation_11,0.0053253523
43,race_0,0.004294494
58,native-country_8,0.0039676013
44,race_1,0.0039075753
11,workclass_5,0.0038982267
29,occupation_7,0.0037838502
72,native-country_22,0.0035791963
50,native-country_0,0.0034214705
23,occupation_1,0.0034017696
35,occupation_13,0.0033931881
61,native-country_11,0.0033658475
54,native-country_4,0.0033294864
70,native-country_20,0.0032534224
1,fnlwgt,0.0031656667
66,native-country_16,0.0031185374
59,native-country_9,0.0030602138
85,native-country_35,0.0030481915
7,workclass_1,0.0030426958
47,race_4,0.003010244
41,relationship_4,0.0028286288
73,native-country_23,0.0027737068
67,native-country_17,0.0027307675
52,native-country_2,0.002671123
68,native-country_18,0.0026117817
17,marital-status_2,0.0025988792
6,workclass_0,0.0025602262
81,native-country_31,0.0024715336
8,workclass_2,0.0024298483
63,native-country_13,0.0022294258
19,marital-status_4,0.0021093555
39,relationship_2,0.002055883
57,native-country_7,0.0019339223
74,native-country_24,0.0017304395
56,native-country_6,0.0016729
79,native-country_29,0.0016268224
60,native-country_10,0.0015701443
71,native-country_21,0.00150628
64,native-country_14,0.0014506986
14,workclass_8,0.0013842409
18,marital-status_3,0.0013486756
28,occupation_6,0.0013193772
78,native-country_28,0.0010883516
69,native-country_19,0.0009955806
84,native-country_34,0.0009693771
83,native-country_33,0.0009659289
80,native-country_30,0.00094875833
86,native-country_36,0.0009403387
87,native-country_37,0.0
88,native-country_38,0.0
89,native-country_39,0.0
90,native-country_40,0.0
82,native-country_32,0.0
20,marital-status_5,0.0
77,native-country_27,0.0
76,native-country_26,0.0
75,native-country_25,0.0
65,native-country_15,0.0
62,native-country_12,0.0
55,native-country_5,0.0
51,native-country_1,0.0
45,race_2,0.0
36,occupation_14,0.0
13,workclass_7,0.0
91,native-country_41,0.0
