index,feature,importance
16,marital-status_1,0.43330792
3,capital-gain,0.05495588
2,education-num,0.036196277
24,occupation_2,0.030374518
4,capital-loss,0.021946002
34,occupation_12,0.020106567
37,relationship_0,0.020088488
30,occupation_8,0.019657772
0,age,0.012189315
25,occupation_3,0.011672632
40,relationship_3,0.010920782
5,hours-per-week,0.010655888
31,occupation_9,0.010400035
26,occupation_4,0.01025032
10,workclass_4,0.009846869
48,sex_0,0.009409891
46,race_3,0.009259609
38,relationship_1,0.009192671
15,marital-status_0,0.00902861
32,occupation_10,0.008676786
21,marital-status_6,0.008556867
12,workclass_6,0.0076555302
19,marital-status_4,0.007017873
53,native-country_3,0.0069574867
33,occupation_11,0.006812447
9,workclass_3,0.00680121
29,occupation_7,0.0067235236
72,native-country_22,0.006190621
22,occupation_0,0.005909096
28,occupation_6,0.005827911
11,workclass_5,0.005538206
7,workclass_1,0.005383397
54,native-country_4,0.005337337
6,workclass_0,0.00533436
20,marital-status_5,0.005202877
63,native-country_13,0.005148396
42,relationship_5,0.005115448
52,native-country_2,0.0050995033
44,race_1,0.0050616087
66,native-country_16,0.005061239
23,occupation_1,0.004923437
17,marital-status_2,0.0047653085
55,native-country_5,0.0046109254
1,fnlwgt,0.004434175
41,relationship_4,0.004243712
27,occupation_5,0.004172376
39,relationship_2,0.0040831156
61,native-country_11,0.004067946
18,marital-status_3,0.0040665665
64,native-country_14,0.00403311
70,native-country_20,0.0039507956
80,native-country_30,0.0039331
43,race_0,0.0038938003
47,race_4,0.0038714763
74,native-country_24,0.0037864663
45,race_2,0.0037438131
35,occupation_13,0.0036379576
81,native-country_31,0.0034762914
65,native-country_15,0.003203401
68,native-country_18,0.003138197
86,native-country_36,0.0028344262
58,native-country_8,0.00280049
67,native-country_17,0.0027903426
50,native-country_0,0.0027087692
14,workclass_8,0.0026929888
57,native-country_7,0.0025286812
59,native-country_9,0.0023094711
89,native-country_39,0.0022655092
79,native-country_29,0.0021127372
62,native-country_12,0.0018095286
76,native-country_26,0.0015853895
77,native-country_27,0.0015450396
83,native-country_33,0.0015353855
84,native-country_34,0.0015208378
51,native-country_1,0.0014763977
8,workclass_2,0.0013847849
60,native-country_10,0.0013782857
85,native-country_35,0.001346096
69,native-country_19,0.0012656933
71,native-country_21,0.0012343664
90,native-country_40,0.0010463245
87,native-country_37,0.00092057744
13,workclass_7,0.0
88,native-country_38,0.0
82,native-country_32,0.0
73,native-country_23,0.0
49,sex_1,0.0
56,native-country_6,0.0
78,native-country_28,0.0
36,occupation_14,0.0
75,native-country_25,0.0
91,native-country_41,0.0
