,class,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_0,workclass_1,workclass_2,workclass_3,workclass_4,workclass_5,workclass_6,workclass_7,workclass_8,marital-status_0,marital-status_1,marital-status_2,marital-status_3,marital-status_4,marital-status_5,marital-status_6,occupation_0,occupation_1,occupation_2,occupation_3,occupation_4,occupation_5,occupation_6,occupation_7,occupation_8,occupation_9,occupation_10,occupation_11,occupation_12,occupation_13,occupation_14,relationship_0,relationship_1,relationship_2,relationship_3,relationship_4,relationship_5,race_0,race_1,race_2,race_3,race_4,sex_0,sex_1,native-country_0,native-country_1,native-country_2,native-country_3,native-country_4,native-country_5,native-country_6,native-country_7,native-country_8,native-country_9,native-country_10,native-country_11,native-country_12,native-country_13,native-country_14,native-country_15,native-country_16,native-country_17,native-country_18,native-country_19,native-country_20,native-country_21,native-country_22,native-country_23,native-country_24,native-country_25,native-country_26,native-country_27,native-country_28,native-country_29,native-country_30,native-country_31,native-country_32,native-country_33,native-country_34,native-country_35,native-country_36,native-country_37,native-country_38,native-country_39,native-country_40,native-country_41
class,1.0,0.22231188233752613,-0.004845528615848829,0.29000433749807175,0.27229607627190355,0.13672028115488855,0.23742944661375098,-0.07562525321522216,0.013618838149645318,-0.0835673294432581,0.034576402066230395,0.02718988421513286,0.13959621645343281,0.06211221735802722,-0.008025842507212121,-0.007002188143272357,-0.3187817501212088,0.44585251886569016,-0.12833501378451634,-0.07358301767356365,-0.06505023473214253,-0.03930270610899493,0.008976737838502476,0.02095084775886493,-0.018482940553949355,-0.15525443916995463,-0.08392071837513165,-0.08518931565243755,0.023977170366918148,-0.0115289164600291,-0.08647462343871978,0.2109380753366414,0.18879279195859905,-0.06993604802005024,0.02487268752194909,-0.05121269742571442,-0.0375256958327231,0.0038638026140077374,-0.2256906415684242,-0.19037211314597338,0.40379123269651446,0.12048366458910643,-0.1436420471622459,-0.08560137056045966,0.08370967320210576,0.012587092743966308,-0.024920288335727583,-0.09044803445919786,-0.028246934322010326,-0.21462803456392804,0.21462803456392804,0.03255124635918778,-0.02225937307738452,0.005458969519566057,-0.0627090620820016,0.008926098778107244,-0.0043445487262264255,-0.010964149670319305,0.015319591678050923,-0.01882183949422517,0.000885208798027297,0.00461137862688272,0.0037440898647093123,0.010890057280989116,0.01565314072587418,-0.007443331535944849,0.009512257639906103,-0.01881176217845105,-0.01554222689105144,0.006544784141748032,-0.010962054863004146,-0.005227627801022708,0.009195977249843147,0.01105215572255868,0.006448177571032955,-0.020432781861365195,0.0015912623427590978,0.013751420815088676,-0.013225505750202019,-0.004219466512225689,-0.020551853146796615,-0.004687351749712538,0.022360984868701198,-0.007749517176643768,0.011888351835929931,-0.009961465246921035,-0.007541148884403787,-0.00910686256906492,-0.010687527589727788,-0.006607463349332324,0.005522171245019828,0.003537553736597705,-0.002537760395794322
age,0.22231188233752613,1.0,-0.052382502826637395,0.05085610633426857,0.10067709151525127,0.04705765411266745,0.11100103033149182,-0.1503051325734228,0.0164239315677711,-0.013168935033270787,0.055546194065728804,0.11696746877987059,0.08501696672378183,0.04996891828979319,-0.0177299872939259,0.007606798456319535,-0.4799294112703535,0.28779195828177645,0.13134921604692512,0.020131316619168893,0.1865203853118668,0.015394945611380282,-0.012094340690451108,-0.011314651703851373,0.03247414433268864,-0.08144153049492463,-0.014236458819215767,-0.08118503356259676,-0.030288637124630674,0.021184032254819154,-0.03287166595062981,0.09366432731994492,0.05543986898395888,-0.00886648626868907,0.002964839106085661,0.022002893764544146,0.013143797636902666,-0.007697641252127095,-0.38961822265582163,-0.01768264190622546,0.2843750680877997,0.028141835877637158,0.046855368340717005,-0.0640086271535249,0.02296786943606682,-0.00752676770781391,-0.028071289290609956,-0.010951669199202105,-0.010301674396517128,-0.08282066231634966,0.08282066231634966,0.007430670228961155,-0.01792921859490761,0.002976590354156373,-0.04240171564951007,0.005285677589575885,0.009546282513567922,0.0021014114432076954,0.0176875914284351,0.0063095366979743,0.02393570596945191,-0.001879851040690061,-0.00011316780309703018,0.0010350546454339542,0.004834606732059842,-0.0027731451301046934,0.013794438418083563,0.0025973641262000764,-0.010830280506368636,0.011026809281854046,-0.003407312906270736,0.0057082401704852395,0.020128657476636908,-0.0014432695604160509,2.792422773144455e-06,-0.017540285112464048,-0.005964468602529517,-0.009122074489325168,-0.005027564542608444,-0.00013880306602726138,-0.0007186131705268945,0.009073498691041348,0.0011975061778838373,-0.004043888256236068,0.0033178832922505543,0.0005195378601174813,-0.0024575088180126044,0.002263051588632281,-0.0033896704108811308,-0.004290781966697538,0.0030867895891020453,0.011727461631598326,-0.0017683708144346473
fnlwgt,-0.004845528615848829,-0.052382502826637395,1.0,-0.021378329837917955,-0.007000543847565177,-0.0007706600266676799,-0.011817977193752958,0.03795039562306577,-0.01821774000822185,-0.006018506796953276,0.006999496031807741,-0.03319345694026772,-0.015602855197987032,-0.014120506254500802,0.003064013913210211,-0.002764076198974095,0.03448857976015301,-0.022088138726932112,-0.015220090322264769,0.017641014772098153,-0.020840506130103006,0.005702899002484963,-0.0034962885962499684,-0.0006497871659591735,0.0024067802419022537,-0.007223319218974499,-0.005820144597638686,0.01999752236259903,0.004455530752808191,0.007086103645221481,0.007380726973896457,-0.012063119241604638,-0.011229589042454313,0.012307118344665554,0.0162869830496382,-0.028721944715693337,0.004030491615633848,0.006054565019735691,0.017164389257551874,0.003697930895722014,-0.016143584580518622,-0.017850075577558414,0.0012595742323627138,0.020289012236350542,-0.03989175013195643,-0.049289621678310205,0.007634279042679368,0.09394655189085939,-0.05898748779586234,-0.022686867183746753,0.022686867183746753,-0.0616549150839404,0.023315133699956955,0.00639916612279067,0.10297082252575739,-0.01757612749435128,0.00022946250680708937,0.014553694772861595,-0.003753918018830953,0.013536379417639735,0.032627985438934644,0.0028562675980206426,-0.011219721072357533,0.0032182262835870044,-0.0010031529036684565,-0.0097605416872424,-0.009990792502782739,0.009652061496415398,-0.006219037541803131,-0.0074950293572157815,0.016249203989597564,-0.014787968404940083,-0.003299662016956112,-0.0011380436920017834,0.0018204605168503226,0.018092454862059296,0.005086204662067076,-0.0014162933141598961,0.019927034615581023,-0.00029781052603293566,0.009389002408799314,-0.006044729459468095,-0.012889140195773618,0.002797224406407585,-0.0008944077659359518,0.0009009103839676811,-0.00039113830249657767,0.0019217731449200075,0.014688011675575707,0.01043498683265532,0.003050536283000154,0.0017929802144808628,-0.006246702488828566
education-num,0.29000433749807175,0.05085610633426857,-0.021378329837917955,1.0,0.1033583186175469,0.06748753693030683,0.12975565032498307,-0.10843497171207142,0.09272564003068604,-0.06070846563556123,0.0892582778956033,0.01221843017100675,0.06723220015398465,0.05147911046561414,-0.012710728595398908,-0.009868342943891458,-0.021713258552310388,0.06952312841452492,-0.008471423888961084,-0.05114690558291162,-0.0595331113659245,-0.020815144149750133,0.0020955585125080724,0.06634576118945863,-0.11791663780338768,-0.14937819186647508,-0.06138800055471302,-0.1183374968698762,0.032996487121804495,-0.13993678343618657,0.0032880836896799,0.18745041615618427,0.3676136674678928,-0.14492573754482369,0.004532007199784715,-0.08251441126420185,-0.05244835561304521,0.002755157850041956,-0.08854107245074495,0.055423101554033724,0.062088516986065295,0.031908072033684495,-0.054727599200450866,-0.07328960903850645,0.04400362180747216,0.06101440879751828,-0.02979254104899947,-0.07166348942445462,-0.023299227606257918,-0.0030115549768567826,0.0030115549768567826,0.050827651008336104,-0.045389219734445374,0.03034395918804204,-0.13712726960550134,0.023530142005811824,0.0011879708958153594,-0.016198058984667505,0.01164226744685282,-0.03342806654448114,-0.007149113419964724,-0.0029987903616028417,-0.004162763392977455,0.02563279700250239,0.01587056310374664,0.0103308519104846,-0.0025342737349045444,-0.012240806285137828,-0.00399540112779987,0.020066770012416083,-0.003028938540554931,-0.03448044286964572,-0.01573432772566966,0.01986304603599934,0.019474759726497485,-0.04110287201288626,0.00447721123750822,0.03776923686760934,-0.008928751890849533,0.005773775828452386,-0.033908305786273955,0.0005462001836811075,0.04615779636722548,-0.005053749250830467,0.018446291652593864,0.0016484033843064876,-0.006824260163062963,-0.008057126891087148,-0.00485344847171852,-0.008763600022218761,-0.004484359338482002,0.006107959983855226,0.0009348302808980523
capital-gain,0.27229607627190355,0.10067709151525127,-0.007000543847565177,0.1033583186175469,1.0,-0.06431093583991089,0.07997123459693202,-0.036076279556705185,-0.0032785240233652695,-0.01937751290499905,0.006743893860881323,0.01922903008459469,0.06871534880008609,0.014232691990163193,-0.004205069452412542,0.0006216320824010261,-0.10356309551888787,0.1250849168439123,-0.024778364549411763,-0.018337260636337324,-0.003228087666645135,-0.012266726695618544,-8.578864025533462e-05,0.0035604259073658633,-0.01351419109221308,-0.05780329763137354,-0.019603504529667918,-0.029991524117211895,0.004263940840206428,-0.0071846801193687524,-0.028988458551244302,0.07131231940067259,0.07443988520154049,-0.01975455009161508,-0.004422963919028291,-0.009003675210153371,-0.010893459378955334,-0.0009694071444493607,-0.08302052573922222,-0.035270043427703686,0.1123478063454381,0.034454903481749156,-0.038938479105224875,-0.02919259052166315,0.027047953124962228,0.0007765834692387152,-0.009375770159051713,-0.028144741687489018,-0.00530431696350777,-0.06376863613146502,0.06376863613146502,0.015613374053496625,-0.005142752129889592,0.002190480727484245,-0.022318779500711972,-0.0029838587425048742,-0.0022138564168141775,-0.0076885787540536,0.0013461513585334938,-0.007406800173306106,-0.004615893113611079,0.001910924648549945,-0.0002331413331512631,0.000860797477762796,0.005268078722114207,-0.0034234599376167466,0.006893210734059796,-0.007232525665292403,0.002875366991631307,-0.001477504418455128,-0.0068233482654734895,-0.0051209376076413946,0.0021193763673078322,0.005775484625012325,0.008942921660944653,-0.007429042950449757,-0.004180639860288255,0.0012080476138485923,-0.0049221004262451455,-0.004328022641105983,-0.007261293168118897,-0.002616277754184858,0.006142466970039496,-0.0032118591118259704,-0.0004937478506438693,-0.006378152627059724,-0.001916899543854485,-0.003957087864627623,-0.004304111341296494,-0.0026178471935575393,0.006877656029823262,0.004730234340614503,-0.0013296371948873353
capital-loss,0.13672028115488855,0.04705765411266745,-0.0007706600266676799,0.06748753693030683,-0.06431093583991089,1.0,0.05264318708856357,-0.02315436685959982,-0.0022959796479992724,-0.012481188823152883,0.010969169812292774,0.013837941969041504,0.03235681801582335,0.010198028809649182,-0.0031318946454955334,6.98068860288386e-05,-0.055044038316976594,0.07162740793001213,-0.01573028703250564,-0.015512471832877274,-0.005799388537941129,-0.006465098859342427,0.0007138345920515548,0.0067485550074680364,-0.0032522636109559135,-0.03783137957853612,-0.012652769504602729,-0.0200313039813271,0.008677989785744869,-0.005714474501299695,-0.020361221927804752,0.04757126994727615,0.04293692341580064,-0.014467884170455997,-0.0006586881610360426,-0.013096575586665006,-0.008699302814182356,0.001616978864753343,-0.04711485316255382,-0.01580264932676167,0.06721613358362287,0.015516311423110989,-0.030365026345421896,-0.017405381590989387,0.01900531863863636,0.0034548488819159747,-0.004377416239989289,-0.01948552884723439,-0.011832063268313294,-0.04203655260847091,0.04203655260847091,0.01006314365042,-0.007264398426000497,0.0020875169786980026,-0.019035021854061137,0.00046995359056214563,-0.0022490272037199864,-0.0014213332810342615,0.005648421828405774,0.0007610792745969862,-0.0027104547780601226,0.006700844545701555,0.0008506493204021678,0.0033912699688581063,0.0021545628721604025,0.005301356975220785,0.0053850128141554035,-0.0022183294978206807,-0.00011741804208050299,0.010268191823515172,-0.0036316875933408758,-0.008111443782448232,-0.003936676119415842,-0.002883667155338111,-0.0038748440557977767,-0.007106900140155554,0.010149631748821867,0.002636042317695669,-0.0010182648625891415,-0.0017094241767097867,-0.005834518216451953,-0.004539057791416559,0.003410130826847939,-0.00040981874664991616,-0.0028132506133513794,-0.0003944324421157983,-0.006646134037730915,0.0031520642189214712,-0.00815355834403802,0.004875301169635114,-0.0047503857633983,0.0004189162824433562,0.020926071215486255
hours-per-week,0.23742944661375098,0.11100103033149182,-0.011817977193752958,0.12975565032498307,0.07997123459693202,0.05264318708856357,1.0,-0.011308203778863756,-0.027196694458375865,-0.14407201440467357,0.003115602717527632,0.07587028477773333,0.11361504314883128,0.013976345367836335,-0.012830583875598631,-0.006975032213165075,-0.19052434563575404,0.2157565716056519,0.007807723381211483,-0.021634302687229837,-0.0885694891193216,-0.01227542818739732,-0.0024783461276531066,-0.010602592394000621,0.06618991823218126,-0.16243893812699547,-0.14461943408215297,-0.04410024856702794,0.020837967652811852,0.05713627979013184,-0.08707325711326705,0.14836450633633327,0.05970010591014987,0.006680372414046746,0.02014718866981358,0.06298170400852117,-0.04018012985123871,0.003731276703732816,-0.23418358301729175,0.0003620942626160959,0.25038471386922073,-0.06547180998057434,-0.050411608634117554,-0.05089610127983486,0.06467278269694318,-0.011017987914425455,-0.014596606961159449,-0.06449253397155963,-0.005517989648837539,-0.23385312063714073,0.23385312063714073,0.01382339102824758,-0.018936532609476003,0.0062267821772945785,-0.012235354473467547,-0.009746801277214874,-0.006606236772061627,-0.01341366912977052,0.0015925671567865957,-0.011673659507547894,-0.002666944773092606,0.002554673970999733,0.0022423695477101443,0.006150691408147861,0.008171774954125926,0.008166947670077912,0.011725239634522324,-0.004354459265661438,-0.010330893055888427,-0.006685593489062359,-0.009638740618283258,0.004522144424022855,0.001179608751848731,0.005955240794418056,0.005970260661992878,-0.006244439001307435,-0.003495904434650731,-0.0026027726949919804,-0.01051615013596715,0.004242322683137332,-0.0017585619033789791,0.0012812533064281112,0.005556327497421839,-0.0021014274401691324,0.0061744587105512965,0.0006176583704811288,-0.003597745093294777,-0.0018924861390343826,-0.010402445603108318,-0.009393154160154722,0.001811681095588692,-0.0005074553521984181,-0.0003997389673824206
workclass_0,-0.07562525321522216,-0.1503051325734228,0.03795039562306577,-0.10843497171207142,-0.036076279556705185,-0.02315436685959982,-0.011308203778863756,1.0,-0.30978300489043487,-0.37148456103300936,-0.39465948581667054,-0.44148660928461764,-0.285679413717916,-0.26185306258592694,-0.021560998551550397,-0.03124837503933704,0.09966687678954007,-0.09475584425367535,0.012632298857696634,0.01450935995718061,-0.041430330278125795,0.006722649923593457,-0.0027219820352422926,0.03937537881693036,0.05085510736223769,0.09438733795109547,-0.37218799129381247,0.10684717773067258,0.08686575985925793,0.06783072289737281,0.0435979780377893,-0.030930528309515506,-0.11710174733297374,0.14462852764216902,-0.12131857713564187,-0.09414554789756559,0.04683477325530921,-0.026408074418819323,0.051576484610943774,0.03860293362684937,-0.08520902337717957,-0.02775943226584699,0.01772431010524185,0.038954031412390205,0.004155076688279872,-0.002940347107584031,0.014759146489697188,-0.0005003527680115416,-0.02197329902877873,0.03384531383274998,-0.03384531383274998,-0.04145885024500792,0.02164742376701955,0.0013783868638088685,0.05011163901093486,0.013312291138874905,0.0059064902288078576,0.004465898204292173,-0.009731979755206148,0.010349135347188551,-0.000669129642892665,0.00475713010388674,0.010198983687750546,-0.006342411790159981,0.0016028428286951907,-0.02001760955240321,-0.007040302295623157,0.009587920695782343,0.008796314975521613,0.000274094987851927,0.013134884789732383,0.0041886398609943054,-0.0008546133610377383,0.005261352004291962,-0.004117346744321556,0.017719473438206228,0.0056928636785618,-0.009901066052602927,0.00839993222510985,-0.001481346084534297,0.015980967008241382,0.005191253952317892,-0.0022602958842641747,0.0062132264220735485,-0.0021985845750956768,0.0062132264220735485,0.008438031638895881,0.00048522707203238556,0.012810099851795022,-0.0019415298628455665,0.0021167576733300783,-0.004934514706065941,0.0030032162137082355
workclass_1,0.013618838149645318,0.0164239315677711,-0.01821774000822185,0.09272564003068604,-0.0032785240233652695,-0.0022959796479992724,-0.027196694458375865,-0.30978300489043487,1.0,-0.05069394676985094,-0.05385646959478691,-0.060246645536064895,-0.03898470760665447,-0.03573328910181517,-0.0029422813961305,-0.0042642511346460245,-0.003905862777803451,-0.003682423309580713,0.014230056078491496,0.001754201601812139,-0.008713678897230267,-0.00043416335867826254,0.0018835508265053421,0.017360469585665957,-0.01720774300201125,-0.0029902591729971304,-0.050789939066538295,-0.03349196322032635,-0.0667080373037889,-0.048275020965265106,0.04798310649191105,0.012619113575026712,0.11828491572663254,-0.0446175973407661,0.09987093815511508,-0.021384368308396375,-0.014508616792391862,-0.0036037285510848783,-0.01704851973894612,0.017951731936297254,-0.005641438962563434,0.0050905888082075105,0.009527832340957498,-0.01686052907971643,-0.024126956836699708,0.01817046189171353,-0.002820230939851991,0.01761497737651941,0.004185778911092136,0.02342800831091419,-0.02342800831091419,0.02127834415391236,-0.011601010058159915,0.0001902206063977354,-0.024466504352600605,-0.003971726420912845,-0.0013012353025206836,-0.0027618451133216357,-0.005760655789796737,-0.005866809724007174,-0.010944443650527637,-0.0005882368179416301,-0.005661156555966788,-0.004162333590553147,-0.0023458589117732755,-0.00784703784344656,-0.006515619901426095,-0.003604537864218789,-0.006159575493268759,0.016741818264702082,-0.006312817964479333,-0.0048161527726448515,-0.0050615802880032545,-0.0017508750594053758,0.002634139938223116,-0.008735196345923771,0.003280990032826982,0.012423109471905846,-0.0032371694463327765,-0.0009081173855694069,-0.009451848827373115,0.0007422283710961722,0.02033215130583371,-0.0044627847479456135,-0.002014782740541383,0.0003211700543975082,0.0005980757333730568,-0.00041993219847050574,-0.0028978385162601985,0.006098684348531282,-0.0044627847479456135,-0.004056028811839412,-0.0009303453430182119
workclass_2,-0.0835673294432581,-0.013168935033270787,-0.006018506796953276,-0.06070846563556123,-0.01937751290499905,-0.012481188823152883,-0.14407201440467357,-0.37148456103300936,-0.05069394676985094,1.0,-0.06458342339755896,-0.0722463734851822,-0.046749552956852417,-0.042850527649017894,-0.0035283152904521317,-0.005113590596904312,0.05833349115770157,-0.06284689105059743,-0.028571994757920386,0.004712934944195043,0.0685317535859631,0.0062637375234483005,0.009219644953459812,-0.0430658421084951,-0.05549442276297981,-0.08254833902027735,0.9981100135489117,-0.051895635350791273,-0.08786672160315431,-0.09324914728847815,-0.08882641537082975,-0.09302230197154733,-0.09377158999986655,-0.0633197702386221,-0.035335772624642055,-0.04373645847421905,-0.01739839518382907,-0.0043215073059136196,0.10546785291008366,-0.01109782047039153,-0.075203672521306,0.023724684671122622,-0.010261272192066977,0.009526523276997963,-0.0205833855630397,0.004541854311150618,0.007502841564641084,0.017204468904233394,0.007277812688001278,0.06400996694764667,-0.06400996694764667,0.005257704174470273,-0.0013823319191424784,-0.0020880870490496894,-0.004143349863806611,-0.005577160769612399,0.002118823461568387,0.003828822205529333,0.012390061772962098,-0.002220858412701491,-0.004826610333795692,0.0014550998064672474,-0.0035870526317537833,-0.0009665393208650484,0.0012488284601062487,0.013467133658507092,-0.007813379561591142,-0.003954419314944865,-0.004051809884688189,0.003544477276939199,-0.004698483621034884,0.0027617703209562436,-0.0019347194269787992,-0.0046162366801229095,0.0016239025177933717,-0.006320783505801249,0.0009982905516644702,0.015162183458413693,-0.005030891030357432,-0.0025570913299452747,0.00018694348994544846,-0.0008644881634842062,-0.00738358119686587,0.002768814774696161,-0.0005613282280290412,-0.0012914263525656727,-0.0016805641566869092,-0.002051036652030669,-0.005819909983934796,-0.0006363125763120155,-0.005351667479827506,-0.000396841756329017,-0.0011156484568366205
