,class,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_0,workclass_1,workclass_2,workclass_3,workclass_4,workclass_5,workclass_6,workclass_7,workclass_8,marital-status_0,marital-status_1,marital-status_2,marital-status_3,marital-status_4,marital-status_5,marital-status_6,occupation_0,occupation_1,occupation_2,occupation_3,occupation_4,occupation_5,occupation_6,occupation_7,occupation_8,occupation_9,occupation_10,occupation_11,occupation_12,occupation_13,occupation_14,relationship_0,relationship_1,relationship_2,relationship_3,relationship_4,relationship_5,race_0,race_1,race_2,race_3,race_4,sex_0,sex_1,native-country_0,native-country_1,native-country_2,native-country_3,native-country_4,native-country_5,native-country_6,native-country_7,native-country_8,native-country_9,native-country_10,native-country_11,native-country_12,native-country_13,native-country_14,native-country_15,native-country_16,native-country_17,native-country_18,native-country_19,native-country_20,native-country_21,native-country_22,native-country_23,native-country_24,native-country_25,native-country_26,native-country_27,native-country_28,native-country_29,native-country_30,native-country_31,native-country_32,native-country_33,native-country_34,native-country_35,native-country_36,native-country_37,native-country_38,native-country_39,native-country_40,native-country_41
class,1.0,0.23036946784751897,-0.006338859530113167,0.3326131306661429,0.22301302085824118,0.1475544881993945,0.2276867605608102,-0.0756252532152213,0.013618838149645365,-0.08356732944325718,0.03457640206623037,0.02718988421513285,0.1395962164534322,0.06211221735802713,-0.008025842507212107,-0.007002188143272297,-0.31878175012120646,0.4458525188656861,-0.12833501378451528,-0.07358301767356289,-0.06505023473214273,-0.0393027061089947,0.00897673783850247,0.02095084775886494,-0.01848294055394943,-0.1552544391699541,-0.08392071837513136,-0.0851893156524374,0.02397717036691806,-0.011528916460029168,-0.08647462343871923,0.21093807533663794,0.18879279195859933,-0.06993604802005006,0.024872687521949134,-0.05121269742571478,-0.03752569583272321,0.003863802614007706,-0.22569064156842333,-0.19037211314597324,0.40379123269651135,0.12048366458910556,-0.14364204716224427,-0.08560137056045983,0.08370967320210641,0.012587092743966348,-0.02492028833572718,-0.0904480344591981,-0.028246934322010486,-0.21462803456392981,0.21462803456392998,0.03255124635918779,-0.022259373077384334,0.0054589695195660535,-0.0627090620820016,0.008926098778107239,-0.0043445487262263926,-0.010964149670319188,0.015319591678050934,-0.01882183949422512,0.0008852087980273022,0.004611378626882678,0.003744089864709284,0.010890057280989162,0.01565314072587404,-0.007443331535944866,0.00951225763990612,-0.018811762178451045,-0.015542226891051369,0.006544784141748047,-0.010962054863004115,-0.005227627801022686,0.009195977249843092,0.011052155722558629,0.006448177571032984,-0.02043278186136515,0.001591262342759093,0.013751420815088582,-0.01322550575020202,-0.004219466512225669,-0.02055185314679647,-0.004687351749712467,0.022360984868700914,-0.0077495171766437335,0.011888351835929864,-0.009961465246920992,-0.007541148884403819,-0.009106862569064934,-0.010687527589727786,-0.006607463349332316,0.00552217124501988,0.003537553736597737,-0.002537760395794312
age,0.23036946784751897,1.0,-0.07662807893178819,0.030940375874514082,0.07722902236438144,0.05694382610561179,0.0715583385269823,-0.19126318473496975,0.013028611691462869,0.026930713861483428,0.05793536584028701,0.1429555308711469,0.0989619727150192,0.04986706808769101,-0.019563711617046255,0.01307307904548787,-0.5382498851802376,0.3159259970983603,0.1305631299844341,0.014190572944400109,0.2708486559305155,0.016394337219617083,-0.013450589206787251,-0.019027165728207045,0.03296095728576547,-0.08632133032172817,0.025683409371809022,-0.09194473746107387,-0.03210060841841998,0.010070969396269532,-0.038116458005618005,0.0978241358426056,0.05315491991182798,-0.01699534888060496,0.0026728875344693434,0.03411748008673984,0.024484742464736295,-0.009174966303731004,-0.4329902808861275,-0.009538023617362498,0.31579869895225327,0.023430001777215468,0.041670370008110344,-0.0679445356878722,0.032023340898564595,-0.010259658599270267,-0.03329489396777278,-0.017323644651460957,-0.01401942890032033,-0.08812002181336598,0.08812002181336574,0.011888272447938077,-0.02165901098438682,0.0012562113082379973,-0.051477653807076126,0.005630579164571476,0.012678691772563372,-0.0001246694008110972,0.024113801672617168,0.005474398615858095,0.02993961409258452,-0.0030582740977983577,-0.00031549525383347887,-0.0006866531199226309,0.007016106322539762,-0.0019415232183612964,0.016626054103666806,0.0024827116165539323,-0.012336748140182091,0.011711963787389448,-0.004946461039951602,0.007015584644278388,0.022937971922102732,-0.004071208258225189,-0.00019767636243351276,-0.020305129582853892,-0.00797464906047198,-0.011872290898945871,-0.0054499207467662205,-0.0017664714356025262,-0.002255589653168764,0.012280704454595876,-0.0011346424307417077,-0.0054241574037652675,0.0034033310365364153,0.0002889261144934481,-0.0021638093276680525,0.0010561041773963185,-0.005109409820925615,-0.005305007810360331,0.0029045547132143146,0.016870275319475565,-0.0021926084780273616
fnlwgt,-0.006338859530113167,-0.07662807893178819,1.0,-0.03876068354970947,-0.003706388611082744,-0.004366149679495462,-0.013518714690561375,0.042874674331360586,-0.01505142266946376,-0.005625297702341742,0.001232769930664415,-0.03908239915420357,-0.01916488889775649,-0.009996382566620268,0.003437778546176539,-0.004273842096762032,0.03845584311819244,-0.025023257580507365,-0.01844805284614324,0.022665292283027758,-0.02397121900089057,0.00849348209081719,-0.0014422228364211786,0.0013072880020542736,0.0040206688921518375,-0.0055031860338865205,-0.005404624518366529,0.024691682051273277,0.002763910296438776,0.009293118784587143,0.00747958192085988,-0.01264393286960353,-0.015155212213497391,0.008626035080761974,0.016103789856389453,-0.028563122541960195,0.003219973953931433,0.0045324902386864995,0.01671556652657554,0.003838541955626549,-0.01925007351980906,-0.01889973926191353,0.005531755979513998,0.023410924514624898,-0.06368581673992346,-0.05067118491628211,0.005246502007948236,0.12591049969118323,-0.06492211808392684,-0.027738997580824966,0.027738997580824678,-0.07064455679085212,0.03259622502610853,0.0049702293330442186,0.1265885711929458,-0.019288007766481825,-0.0023278485666459246,0.010418142166598343,-0.004865665311204212,0.008707609913533042,0.02567640980665752,0.0024112714030041383,-0.011360169485256087,0.0013765001485987098,-0.0029450043412239998,-0.010341917631978495,-0.011759155424647727,0.01114557587499348,-0.007478687836583467,-0.008000537122552618,0.023834737732855604,-0.013576890417345723,-0.0046525838334880954,0.002114045615527335,0.0020542802195762508,0.026830444492224378,0.005457657148258101,-0.0017328028456650322,0.028494836450873477,-0.0015115006307171678,0.006100826810931106,-0.006522816619245069,-0.012686715854543423,0.003113650188176827,-0.0008351180828663661,-0.0008870251421182636,-0.003188318454533442,0.004153147066101948,0.009585611455469482,0.009538358832695052,0.004699353887154193,0.0016281084188749797,-0.006932059162593705
education-num,0.3326131306661429,0.030940375874514082,-0.03876068354970947,1.0,0.12514645910572303,0.08097193774847414,0.14368890939247667,-0.11859908800453876,0.1046918385071849,-0.07930379989678002,0.09720990675360516,0.017011073901224864,0.0797827770190717,0.0580721850197635,-0.01435002118600596,-0.009081108677487829,-0.028920060265847983,0.08054726895282405,-0.0038811913580331955,-0.05648195532916054,-0.06895344035207891,-0.03110515187409903,0.003794902639693344,0.06094247344931503,-0.11728194122504439,-0.16893668862630123,-0.08005296095365133,-0.12769468221811725,0.03571667569884393,-0.14333452983174044,0.004141829812011399,0.20128530231307787,0.41795574661924945,-0.15694280256280574,0.0026221443595536493,-0.10642929856008486,-0.06883296038798133,0.004012607732932087,-0.09731640531321648,0.05700441128108575,0.07265853972585254,0.03574858671785546,-0.05946063566858184,-0.08525337417430853,0.04928677237210715,0.06415318877870937,-0.0440932500650906,-0.07436362830106097,-0.026487773952054934,-0.009328017717674147,0.00932801771767419,0.10420952696962167,-0.07364183078043729,0.03160579045526746,-0.22208453719004567,0.019524764499106746,-0.00014989782002539851,-0.02356319884587535,0.014611001127938821,-0.041775721023464434,-0.01421950517343618,-0.006383384969232983,-0.003151903710340646,0.02851949792675088,0.0204983697881807,0.012984022070007333,-0.003981168940002132,-0.013305228843558111,-0.007544057476059091,0.023049457411945803,-0.003009518581555899,-0.0478164568341789,-0.023246488230473292,0.022740604730352464,0.02149405811758069,-0.06232048830710428,0.0034255635647771525,0.04542007892502653,-0.013288644294923458,0.0072826936746470256,-0.049309922989325836,0.0009066338145505596,0.053249093317753085,-0.01057015424301558,0.02085952617279253,-0.00029220082033740516,-0.009846850414473831,-0.010200841042214111,-0.004839141605680073,-0.013604424469817794,-0.005798247296772117,0.006670082017159747,-0.00013743645584276588
capital-gain,0.22301302085824118,0.07722902236438144,-0.003706388611082744,0.12514645910572303,1.0,-0.03144077064746415,0.08215727805587829,-0.036986385862869335,-0.008904472896056533,-0.019061815882877184,-0.009871640077543582,0.027630114031022605,0.10314371030197227,-0.0036331095023621257,-0.002072177225841326,-0.0020980215646276617,-0.06542152713042676,0.08152513814671389,-0.015181855359167764,-0.011998960726180176,-0.011426314321942632,-0.006892819316514588,0.006992741459767008,-0.009575320955066002,-0.019255575516434902,-0.038725430287921365,-0.019157263498753404,-0.02247328015560577,0.008982592192993638,-0.018276692627483705,-0.029105270890714064,0.06068817007073825,0.08507045340588161,-0.02632404064028799,-0.006962028722301265,-0.008644037455898212,-0.008464671531027037,-0.0013936688335169332,-0.052038144484210465,-0.02332868593080768,0.07678108566358682,0.017415514123709227,-0.02886375450005021,-0.02020365327207078,0.014800502938857561,0.01101608746602897,-0.0011775300051684238,-0.021456392026514486,-0.007144130198504909,-0.04709405220821021,0.04709405220821011,0.004191080889277342,-0.005196462994995962,0.0120853198981556,-0.01253952926304317,0.004495545015311298,-0.003441717065549648,-0.004112389788000393,0.001267459027928961,-0.0061372189515684315,-0.004346758718121819,-0.0012264489455000153,-0.002158852988730285,0.0019185436738263883,-1.7242032516391823e-05,0.00390592286625752,0.0002227544986029063,-0.005343607817424212,-0.0026729265904513674,0.002207074196783593,-0.004281962658850761,-0.004355189584316617,-0.0017513317125989621,0.00463754172141169,-0.00014855028851358765,-0.0051948964507016375,-0.0019237857104502452,0.004259566280992778,-0.00399916308827443,-0.002780549817870553,-9.0136380384298e-05,-0.0023169627924518794,0.01582274218844248,-0.0027776733207639202,-0.0024773427554940393,-0.0031430307552115203,-0.0030595119169721436,-0.003038848096009743,-0.0036495611633407896,-0.0027262827038315673,-0.0004738319178279107,-0.001558573664801264,-0.0006552195974542852
capital-loss,0.1475544881993945,0.05694382610561179,-0.004366149679495462,0.08097193774847414,-0.03144077064746415,1.0,0.054467216095187086,-0.02517550306040789,-0.0024497520008151604,-0.012155032775196344,0.00950374264299993,0.015883508029149035,0.03703579790786097,0.009220926708249828,-0.0031071468136394426,0.00012118817137277737,-0.05812113959804991,0.07556990033707342,-0.019523780531995667,-0.01378094789309621,-0.0026139481767513827,-0.006886656930888706,-0.0001875830679794411,0.004315201563368111,-0.0040774030207374,-0.038028969676988336,-0.012325638344597769,-0.02038283906706518,0.00842578900827149,-0.006927829553020317,-0.02145697428930188,0.0496985805267926,0.045043171021254665,-0.014668914354756013,-0.0008877088105595546,-0.012395440209262896,-0.008261177905324452,0.001665645753188451,-0.0491671564162583,-0.015584642860979476,0.0708389507688765,0.015848950745151417,-0.034717921908897685,-0.016633489083136242,0.020571875150957125,0.0035811163602317746,-0.005575990182184916,-0.0209555678876564,-0.01215690453149341,-0.04548041883314928,0.04548041883314932,0.009449190108004312,-0.007159265328732594,0.0024464782398509726,-0.019178032193800938,0.00019724471488329293,-0.0017936299609530972,-0.002072950250543877,0.006625189334569951,0.0026359721862176644,-0.003273703052986104,0.006377910110904714,0.0005935083048083042,0.003184675407844351,0.00271271031084986,0.0056376800619901205,0.006869113508401749,-0.002305780910068647,-0.00011778578718235074,0.010325257879223877,-0.0036058123885589002,-0.008047348188706945,-0.004015500461647296,-0.0030243850941583687,-0.004206203342336112,-0.0073150839110963,0.010332583935044985,0.00307750029544036,-0.0013811020825079013,-0.002337770411446959,-0.005529379235004997,-0.004503190735936742,0.0038574008730661606,-0.000638245030178316,-0.0034931482407319354,-0.0005867270512107303,-0.006593617134617531,0.004027641472336498,-0.00806599453488727,0.0032392602770232996,-0.004712848821249524,1.4056693074992597e-05,0.023775253981991797
hours-per-week,0.2276867605608102,0.0715583385269823,-0.013518714690561375,0.14368890939247667,0.08215727805587829,0.054467216095187086,1.0,-0.01814692684015621,-0.02209359626247606,-0.17131790963743537,0.008981428293605537,0.09394423561490654,0.12468026436575728,0.015300243366208503,-0.013306767046057814,-0.010829121208933206,-0.19997957746468706,0.2140766027029622,0.022173354618616962,-0.010948362606439405,-0.10094874999551265,-0.006794183927467819,-0.0013589344696838049,-0.009892202046462323,0.07819626312510831,-0.15320927678093807,-0.17184900532423497,-0.04265525141141553,0.009401347610545363,0.0563711319736308,-0.0789158609002637,0.13862604735035916,0.05710389451037354,0.007383226286758763,0.027376798708720937,0.09154858070894532,-0.04212716881251653,0.0016657216561033132,-0.25182715800221606,0.005108712058351604,0.24857394625816023,-0.06671358544280676,-0.03453644784178319,-0.0474190590077113,0.04660633316549677,-0.007772777896311466,-0.009017120084145383,-0.047960689954050076,-0.0011935679102925364,-0.22855979909118596,0.22855979909118623,0.004390117821379175,-0.018492034796202643,0.006581975388688019,-0.0023759198922786635,-0.0050455695992080345,-0.00931598654398762,-0.01108443847496354,-7.792663922739034e-05,-0.006977883797130584,-0.0013786507650106919,0.003118265340649431,0.004466405019428238,0.007091531244395138,0.00624105913130433,0.009526110721154134,0.016560760060404838,-0.0016610952285240122,-0.00828914860304492,-0.008723285859095585,-0.009611216833134543,0.005432983966782796,0.0019496087225213863,0.006521611367971372,0.0020648916332685055,-0.005850840108248061,-0.00031153889888883266,-0.003011930985619357,-0.008909040716864281,0.008558187813637848,0.004448090642108409,0.0020826124326778317,0.00450069610844124,-0.0018061072553955087,0.005330422413748654,0.0016210709138878838,-0.002832325996753533,-0.002910514033259323,-0.004749759279627119,-0.007795158935038514,-0.0003590764728092109,-0.003940258804235129,-0.00015423965373308259
workclass_0,-0.0756252532152213,-0.19126318473496975,0.042874674331360586,-0.11859908800453876,-0.036986385862869335,-0.02517550306040789,-0.01814692684015621,1.0,-0.3097830048904341,-0.37148456103301125,-0.3946594858166698,-0.4414866092846145,-0.285679413717915,-0.2618530625859254,-0.021560998551550338,-0.031248375039337084,0.09966687678953938,-0.09475584425367492,0.01263229885769668,0.014509359957180584,-0.04143033027812597,0.00672264992359342,-0.002721982035242285,0.03937537881692983,0.05085510736223722,0.09438733795109586,-0.3721879912938126,0.10684717773067304,0.08686575985925764,0.06783072289737274,0.04359797803778916,-0.03093052830951571,-0.11710174733297303,0.14462852764216932,-0.12131857713564201,-0.0941455478975655,0.04683477325530852,-0.026408074418819486,0.051576484610943545,0.03860293362684929,-0.08520902337717971,-0.02775943226584674,0.01772431010524168,0.038954031412390046,0.004155076688279888,-0.002940347107584073,0.01475914648969728,-0.0005003527680115982,-0.021973299028778894,0.03384531383274963,-0.03384531383274974,-0.04145885024500811,0.021647423767019624,0.001378386863808832,0.050111639010934725,0.013312291138874858,0.005906490228807888,0.004465898204292191,-0.009731979755206156,0.010349135347188544,-0.0006691296428926366,0.00475713010388668,0.010198983687750558,-0.006342411790159984,0.0016028428286951827,-0.02001760955240297,-0.007040302295623073,0.009587920695782431,0.008796314975521585,0.0002740949878519485,0.013134884789732244,0.004188639860994289,-0.0008546133610377127,0.00526135200429191,-0.004117346744321454,0.017719473438206155,0.005692863678561737,-0.009901066052602835,0.008399932225109713,-0.0014813460845342359,0.015980967008241132,0.005191253952317878,-0.0022602958842641834,0.006213226422073518,-0.002198584575095693,0.006213226422073503,0.008438031638895817,0.00048522707203238214,0.01281009985179493,-0.0019415298628455875,0.002116757673330106,-0.004934514706065899,0.0030032162137081974
workclass_1,0.013618838149645365,0.013028611691462869,-0.01505142266946376,0.1046918385071849,-0.008904472896056533,-0.0024497520008151604,-0.02209359626247606,-0.3097830048904341,1.0,-0.050693946769851214,-0.05385646959478676,-0.060246645536065374,-0.03898470760665444,-0.0357332891018152,-0.002942281396130544,-0.004264251134646013,-0.0039058627778034176,-0.0036824233095806465,0.01423005607849153,0.0017542016018121211,-0.008713678897230211,-0.00043416335867827,0.0018835508265053723,0.017360469585666047,-0.01720774300201137,-0.0029902591729971074,-0.05078993906653859,-0.033491963220326354,-0.0667080373037883,-0.04827502096526489,0.0479831064919114,0.012619113575026751,0.11828491572663345,-0.044617597340766486,0.09987093815511472,-0.021384368308396406,-0.014508616792391849,-0.0036037285510848466,-0.01704851973894599,0.01795173193629715,-0.005641438962563446,0.0050905888082074715,0.009527832340957451,-0.016860529079716163,-0.024126956836699947,0.018170461891713667,-0.002820230939852019,0.017614977376519403,0.004185778911092061,0.02342800831091415,-0.023428008310914135,0.021278344153912294,-0.011601010058159894,0.00019022060639773962,-0.024466504352600636,-0.003971726420912835,-0.001301235302520709,-0.0027618451133216175,-0.005760655789796796,-0.005866809724007171,-0.010944443650527623,-0.0005882368179416985,-0.005661156555966711,-0.004162333590553162,-0.0023458589117732994,-0.007847037843446618,-0.00651561990142617,-0.0036045378642188164,-0.006159575493268799,0.016741818264702193,-0.006312817964479346,-0.004816152772644863,-0.005061580288003184,-0.0017508750594053951,0.0026341399382231252,-0.008735196345923804,0.00328099003282701,0.012423109471905927,-0.003237169446332782,-0.0009081173855694297,-0.009451848827373075,0.0007422283710961505,0.020332151305833487,-0.004462784747945661,-0.002014782740541408,0.0003211700543974676,0.0005980757333730581,-0.00041993219847049533,-0.002897838516260188,0.006098684348531283,-0.004462784747945644,-0.004056028811839408,-0.0009303453430182181
workclass_2,-0.08356732944325718,0.026930713861483428,-0.005625297702341742,-0.07930379989678002,-0.019061815882877184,-0.012155032775196344,-0.17131790963743537,-0.37148456103301125,-0.050693946769851214,1.0,-0.06458342339755876,-0.07224637348518234,-0.04674955295685195,-0.042850527649017624,-0.0035283152904521517,-0.005113590596904237,0.05833349115770147,-0.0628468910505973,-0.028571994757920306,0.004712934944195011,0.0685317535859634,0.006263737523448271,0.009219644953459862,-0.043065842108494706,-0.05549442276297946,-0.08254833902027747,0.9981100135489065,-0.05189563535079141,-0.08786672160315312,-0.09324914728847841,-0.08882641537082953,-0.09302230197154679,-0.09377158999986718,-0.06331977023862256,-0.03533577262464216,-0.04373645847421878,-0.017398395183829157,-0.004321507305913639,0.10546785291008265,-0.011097820470391472,-0.07520367252130652,0.023724684671122667,-0.010261272192066878,0.009526523276998022,-0.0205833855630399,0.00454185431115062,0.007502841564641054,0.017204468904233307,0.0072778126880012365,0.06400996694764712,-0.06400996694764702,0.005257704174470258,-0.0013823319191424688,-0.002088087049049705,-0.004143349863806609,-0.005577160769612389,0.0021188234615683913,0.003828822205529382,0.012390061772962027,-0.002220858412701507,-0.004826610333795698,0.001455099806467256,-0.0035870526317538106,-0.0009665393208650471,0.0012488284601062636,0.013467133658507146,-0.007813379561591177,-0.003954419314944881,-0.004051809884688204,0.0035444772769392284,-0.004698483621034906,0.002761770320956232,-0.0019347194269788185,-0.004616236680122918,0.0016239025177933724,-0.0063207835058012906,0.0009982905516644695,0.015162183458413673,-0.005030891030357443,-0.0025570913299453085,0.0001869434899454523,-0.000864488163484187,-0.007383581196865961,0.002768814774696107,-0.0005613282280290189,-0.001291426352565647,-0.001680564156686936,-0.002051036652030663,-0.005819909983934855,-0.0006363125763120204,-0.005351667479827515,-0.00039684175632902663,-0.0011156484568366242
