,class,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_0,workclass_1,workclass_2,workclass_3,workclass_4,workclass_5,workclass_6,workclass_7,workclass_8,marital-status_0,marital-status_1,marital-status_2,marital-status_3,marital-status_4,marital-status_5,marital-status_6,occupation_0,occupation_1,occupation_2,occupation_3,occupation_4,occupation_5,occupation_6,occupation_7,occupation_8,occupation_9,occupation_10,occupation_11,occupation_12,occupation_13,occupation_14,relationship_0,relationship_1,relationship_2,relationship_3,relationship_4,relationship_5,race_0,race_1,race_2,race_3,race_4,sex_0,sex_1,native-country_0,native-country_1,native-country_2,native-country_3,native-country_4,native-country_5,native-country_6,native-country_7,native-country_8,native-country_9,native-country_10,native-country_11,native-country_12,native-country_13,native-country_14,native-country_15,native-country_16,native-country_17,native-country_18,native-country_19,native-country_20,native-country_21,native-country_22,native-country_23,native-country_24,native-country_25,native-country_26,native-country_27,native-country_28,native-country_29,native-country_30,native-country_31,native-country_32,native-country_33,native-country_34,native-country_35,native-country_36,native-country_37,native-country_38,native-country_39,native-country_40,native-country_41
class,1.0,0.26943278344728966,-0.005934363931014745,0.3278147269178632,0.27773412927560365,0.1382483702271773,0.2681657658301571,-0.07562525321522216,0.013618838149645316,-0.08356732944325809,0.03457640206623039,0.02718988421513286,0.1395962164534328,0.062112217358027216,-0.008025842507212123,-0.007002188143272357,-0.31878175012120885,0.44585251886569016,-0.1283350137845163,-0.07358301767356364,-0.06505023473214253,-0.03930270610899493,0.008976737838502476,0.02095084775886493,-0.01848294055394935,-0.1552544391699546,-0.08392071837513165,-0.08518931565243754,0.023977170366918148,-0.011528916460029098,-0.08647462343871978,0.21093807533664138,0.18879279195859902,-0.06993604802005023,0.024872687521949086,-0.05121269742571441,-0.03752569583272309,0.003863802614007738,-0.22569064156842417,-0.19037211314597338,0.4037912326965145,0.12048366458910642,-0.14364204716224588,-0.08560137056045967,0.08370967320210575,0.012587092743966306,-0.02492028833572758,-0.09044803445919786,-0.028246934322010323,-0.21462803456392804,0.21462803456392804,0.03255124635918778,-0.02225937307738452,0.005458969519566057,-0.0627090620820016,0.008926098778107244,-0.0043445487262264255,-0.010964149670319305,0.015319591678050923,-0.01882183949422517,0.000885208798027297,0.00461137862688272,0.003744089864709312,0.010890057280989114,0.01565314072587418,-0.00744333153594485,0.009512257639906103,-0.01881176217845105,-0.01554222689105144,0.006544784141748031,-0.010962054863004146,-0.005227627801022708,0.009195977249843149,0.01105215572255868,0.006448177571032955,-0.020432781861365195,0.0015912623427590978,0.013751420815088676,-0.013225505750202019,-0.004219466512225689,-0.020551853146796615,-0.004687351749712537,0.022360984868701195,-0.007749517176643768,0.01188835183592993,-0.009961465246921033,-0.0075411488844037864,-0.009106862569064919,-0.010687527589727784,-0.006607463349332324,0.0055221712450198275,0.003537553736597705,-0.002537760395794322
age,0.26943278344728966,1.0,-0.07750419429937262,0.0632122643093882,0.12443564850017709,0.05758371789071024,0.14660426245021493,-0.18216358842298055,0.019905124057803963,-0.015960203223252315,0.06731968403879772,0.14175972221897196,0.10303703852345798,0.06056025705467462,-0.02148800944357427,0.00921912432056611,-0.5816545466538166,0.3487919204241135,0.1591898035814915,0.02439832101698588,0.22605497311177356,0.018658035744559306,-0.01465783943676323,-0.013712888714049189,0.03935731642243577,-0.0987037580660658,-0.01725399778798303,-0.09839289441948006,-0.03670857230619842,0.02567416871756493,-0.039839096140533554,0.1135172810116183,0.0671908224483586,-0.010745813717429088,0.0035932620624084055,0.026666594914056235,0.015929737741151823,-0.009329222022376776,-0.4722011307185265,-0.021430628796811756,0.34465079118703945,0.034106738209866184,0.056786763616712026,-0.07757580205465636,0.027836105416164852,-0.009122130371774373,-0.034021238671534774,-0.01327296896913049,-0.012485202219678054,-0.10037520864927447,0.10037520864927447,0.00900566421199325,-0.021729469519432148,0.0036075040878160453,-0.051389121221342676,0.006406022073090055,0.011569698579132709,0.0025468235361878495,0.021436627412502716,0.007646896859147678,0.02900908316422786,-0.002278301515122889,-0.0001371546849608082,0.0012544433127326517,0.0058593428969946236,-0.003360936911923582,0.016718287389756444,0.0031478976237793994,-0.013125850906680309,0.01336403563369426,-0.0041295219614873166,0.006918150400006118,0.024395098246495873,-0.001749182863456879,3.38430061595907e-06,-0.021258098265458797,-0.007228688635381272,-0.01105557604312327,-0.0060931997625717485,-0.00016822356069102554,-0.000870929366083013,0.010996704189751471,0.0014513278341672549,-0.004901024890668084,0.004021136977406746,0.0006296583443307606,-0.0029783987892203954,0.0027427246901911653,-0.004108139988604012,-0.005200249830540021,0.003741060991266196,0.014213197229716694,-0.00214319210332039
fnlwgt,-0.005934363931014745,-0.07750419429937262,1.0,-0.029643010232347968,-0.008754846561449132,-0.0009443424613124745,-0.01633435191849228,0.04647820223713802,-0.022311435506909574,-0.007370921211276335,0.008572347844686959,-0.04065233522050079,-0.01910896177662133,-0.017293515248325165,0.003752526316986111,-0.0033851898106879207,0.04223848417511076,-0.027051548789872065,-0.01864018607584103,0.021605114750044355,-0.025523561552821376,0.006984393412077327,-0.004281937138940898,-0.0007958003813849961,0.002947606131291345,-0.008846466182261668,-0.007127985182163018,0.024491151497921686,0.0054567299234409864,0.008678416993780969,0.009039244922689607,-0.01477381425191894,-0.01375298207004507,0.015072642221207693,0.019946819514941615,-0.035176032640053166,0.004936180541755995,0.007415082051849347,0.021021387052539205,0.0045288903372028705,-0.019771198077040582,-0.021861153461538982,0.0015426122690763342,0.024848141855462684,-0.04885579714746245,-0.06036545777573258,0.00934977249788501,0.11505721525630842,-0.07224252454355103,-0.027784817095619235,0.027784817095619235,-0.0755093475347928,0.02855426093724001,0.007837118225543293,0.12610932337600692,-0.021525646697914128,0.00028102486475104106,0.01782404525289097,-0.004597458287228437,0.016578129682245122,0.0399597970172278,0.0034980974739431056,-0.01374089667535292,0.003941391640263129,-0.0012285706846001051,-0.011953826120535733,-0.012235816434319062,0.011820969422596169,-0.00761651307826153,-0.009179232113886989,0.0199005511489847,-0.018110962347477326,-0.004041126739798127,-0.0013937726867703495,0.0022295349146628698,0.02215799762398239,0.006229122121703212,-0.001734547585127714,0.024404824499023363,-0.00036473131913529846,0.011498798513075894,-0.007403036349776216,-0.015785449791671926,0.0034257867284169146,-0.001095389503722906,0.0011033533204628267,-0.00047903071437488745,0.002353613431876977,0.017988544412009567,0.012779825358533276,0.0037360201380044183,0.0021958795329442885,-0.007650394596006403
education-num,0.3278147269178632,0.0632122643093882,-0.029643010232347968,1.0,0.11887147722293678,0.07701684481777188,0.1644369880034857,-0.12257258269585455,0.10481508872309722,-0.06862355665303216,0.10089565640962349,0.013811453250764534,0.07599784721741322,0.058190890125469304,-0.014367936905272915,-0.011154964698778377,-0.024544205042691523,0.07858746373348487,-0.009575917149114037,-0.057815372800992644,-0.06729496121802331,-0.02352899564907945,0.002368774713663739,0.07499583549030454,-0.13329045611549564,-0.16885392679520975,-0.06939168845366213,-0.13376618624126574,0.03729852631999013,-0.15818155977823148,0.0037167797768633834,0.2118899583123922,0.41554266067852424,-0.16382096725343692,0.005122884420985925,-0.09327253319286107,-0.059286504198219826,0.0031143717573986845,-0.1000849426489998,0.06264909365708149,0.07018353730884261,0.036068205084233744,-0.061862912608627287,-0.0828450132165168,0.049740756950951905,0.06896938828767109,-0.033676853913372676,-0.08100688223608023,-0.02633695068506816,-0.0034041976090892156,0.0034041976090892156,0.05745449422902145,-0.05130700733867827,0.03430016523425594,-0.1550057451779269,0.02659797140456574,0.0013428570005463132,-0.018309940908016676,0.01316017117785406,-0.03778637450808509,-0.008081205556058792,-0.0033897687598527454,-0.004705499085515076,0.02897476783281634,0.017939746538866895,0.011677774984613504,-0.002864689057791662,-0.013836746733636704,-0.004516316345253786,0.02268304946227738,-0.0034238476192777895,-0.03897595829371017,-0.01778574896887829,0.022452764218022652,0.02201385364305188,-0.0464618111600961,0.005060944232212057,0.04269354098793012,-0.010092870982785407,0.006526553233024188,-0.03832922671940624,0.0006174130552688699,0.052175789996082265,-0.005712650524005905,0.020851295235480825,0.0018633200797574473,-0.00771399835282054,-0.00910760464595419,-0.005486234789081062,-0.009906186827706066,-0.005069024293320514,0.006904307885208958,0.0010567122405511673
capital-gain,0.27773412927560365,0.12443564850017709,-0.008754846561449132,0.11887147722293678,1.0,-0.06632843871568463,0.0919141290095747,-0.03679676265397084,-0.003343999764540333,-0.019764503212387995,0.006878576860243311,0.019613055026273807,0.07008767011319039,0.014516934548805715,-0.004289049327846462,0.0006340467607878043,-0.10563136477333208,0.12758300061020714,-0.025273215821635577,-0.01870347595845416,-0.0032925561381418663,-0.012511706758739492,-8.750193403176797e-05,0.003631531540120809,-0.013784084395369612,-0.058957693245925764,-0.019995008139085182,-0.030590487936463878,0.00434909644219362,-0.0073281661065290795,-0.029567390044696364,0.07273650508130065,0.07592653182112345,-0.020149070247517657,-0.004511295387312511,-0.00918348853574835,-0.011111013778957997,-0.000988767274444099,-0.08467853721535573,-0.0359744251001415,0.11459151596520456,0.03514300591031308,-0.03971612348466955,-0.029775598755735523,0.027588130584545838,0.0007920926977422521,-0.009563014631221488,-0.028706823224496487,-0.005410250024280844,-0.0650421661360263,0.0650421661360263,0.01592519035592739,-0.005245458562718633,0.002234227043856972,-0.022764510146428555,-0.0030434496929858954,-0.002258069571487752,-0.007842128152782048,0.0013730354860572347,-0.007554722142956646,-0.004708077590724756,0.0019490879216575415,-0.00023779742274457726,0.0008779885529101703,0.005373288065233478,-0.0034918302088732954,0.007030875756085527,-0.007376967180781621,0.0029327912421738193,-0.0015070118114766011,-0.006959618056938636,-0.005223208380398281,0.0021617026511750325,0.0058908274237146835,0.009121521671146757,-0.007577409132895108,-0.00426413184982,0.0012321736572534268,-0.005020400201159008,-0.004414458027343596,-0.007406309202372017,-0.00266852770686303,0.006265138810977803,-0.0032760034811817954,-0.0005036085398577059,-0.006505531370545567,-0.001955182142212017,-0.004036115274213414,-0.0043900691925011694,-0.002670128489671179,0.007015010407247524,0.004824702338157361,-0.0013561915163468493
capital-loss,0.1382483702271773,0.05758371789071024,-0.0009443424613124745,0.07701684481777188,-0.06632843871568463,1.0,0.060063253777625315,-0.023413157542847736,-0.002321641249779702,-0.012620688011486367,0.011091769534738161,0.013992605254746009,0.032718462240121,0.010312009678114898,-0.0031668990643199777,7.05871004842955e-05,-0.05565925204193615,0.07242796991254803,-0.015906100595170173,-0.015685850928442126,-0.005864206882197935,-0.006537357684695747,0.0007218129463258554,0.006823981952713774,-0.003288613364204841,-0.03825421163560363,-0.012794186408158305,-0.020255188956248147,0.0087749815506024,-0.0057783437821814125,-0.020588794314750594,0.0481029623717452,0.04341681888496702,-0.014629588165746698,-0.0006660501571672887,-0.013242952802022794,-0.008796532789534904,0.0016350514412027163,-0.0476414443284879,-0.015979271665053085,0.06796739183399375,0.0156897334328348,-0.030704408802408167,-0.017599917274967947,0.019217736426851446,0.0034934628810847153,-0.004426341548397696,-0.019703313827251316,-0.011964307339421191,-0.0425063848538049,0.0425063848538049,0.010175616940521402,-0.007345590826701805,0.0021108486443179105,-0.019247771627834764,0.0004752061466581013,-0.002274164029538764,-0.0014372191747471941,0.005711552854752085,0.000769585671108412,-0.0027407488667812708,0.006775738242809977,0.0008601568193619147,0.003429173362098809,0.002178643893298573,0.00536060894276874,0.0054451997825110615,-0.0022431232229046375,-0.0001187303947576416,0.010382956886789895,-0.0036722780754439954,-0.008202103401487502,-0.0039806753835221285,-0.0029158971963456934,-0.003918152238084059,-0.007186332221118846,0.010263071695200849,0.0026655047165858392,-0.0010296457593812957,-0.001728529991752525,-0.005899729196515178,-0.004589789727826878,0.003448245023275592,-0.000414399190334532,-0.00284469362592829,-0.0003988409168458239,-0.00672041624890131,0.003187294068124529,-0.008244688667209886,0.004929791215870436,-0.004803479660754914,0.00042359840705572687,0.021159956784475797
hours-per-week,0.2681657658301571,0.14660426245021493,-0.01633435191849228,0.1644369880034857,0.0919141290095747,0.060063253777625315,1.0,-0.012772102069781126,-0.030717429962862742,-0.16272279040591892,0.003518931626570735,0.08569203740878628,0.1283230260204301,0.015785646694320064,-0.014491561177941521,-0.007877981782842172,-0.2151885866954739,0.24368723881011578,0.008818468600984975,-0.02443496133721103,-0.10003521137589623,-0.01386453806684587,-0.0027991792795418503,-0.011975146089387826,0.07475850348859114,-0.18346739574526053,-0.16334107604460205,-0.04980922585190582,0.02353553711916328,0.06453283046871847,-0.09834528534740347,0.16757096489560594,0.06742855551350815,0.007545176935689103,0.022755333662359285,0.0711349713761881,-0.04538162998055249,0.004214307403952751,-0.26449971046280946,0.0004089690079390838,0.28279815121725344,-0.0739474328653487,-0.05693762011790557,-0.05748483253502931,0.07304496787421086,-0.012444316444817069,-0.016486203965378,-0.07284138513343555,-0.006232318447132742,-0.2641264682280524,0.2641264682280524,0.015612891721430832,-0.021387952681576828,0.007032867384592831,-0.013819276628810688,-0.011008568929323788,-0.007461444098453495,-0.015150129464054944,0.0017987322016143681,-0.013184867700823642,-0.0030121928754126685,0.002885388108552476,0.002532654460565497,0.0069469263201130315,0.009229648301921954,0.009224196104049799,0.013243125109283244,-0.004918163776256274,-0.011668274039102791,-0.007551073902556469,-0.01088651932776089,0.005107556539250385,0.001332314457330459,0.006726173737565456,0.0067431379951515096,-0.00705280996459319,-0.003948465126620316,-0.00293971343061675,-0.0118775134888143,0.0047915106042970565,-0.0019862157213655835,0.0014471173607192166,0.006275619304176873,-0.0023734667576689053,0.006973770407658343,0.0006976170492067596,-0.004063489520634745,-0.0021374770570169034,-0.011749089388234844,-0.010609140588262362,0.0020462114340387898,-0.0005731477501536643,-0.0004514869905528165
workclass_0,-0.07562525321522216,-0.18216358842298055,0.04647820223713802,-0.12257258269585455,-0.03679676265397084,-0.023413157542847736,-0.012772102069781126,1.0,-0.3097830048904349,-0.3714845610330094,-0.3946594858166705,-0.4414866092846177,-0.28567941371791605,-0.26185306258592694,-0.021560998551550397,-0.031248375039337042,0.09966687678954007,-0.09475584425367538,0.012632298857696636,0.01450935995718061,-0.0414303302781258,0.006722649923593458,-0.002721982035242293,0.03937537881693036,0.0508551073622377,0.09438733795109547,-0.37218799129381247,0.10684717773067261,0.08686575985925793,0.06783072289737282,0.04359797803778931,-0.03093052830951551,-0.11710174733297375,0.14462852764216905,-0.1213185771356419,-0.0941455478975656,0.04683477325530921,-0.026408074418819327,0.05157648461094378,0.03860293362684937,-0.08520902337717959,-0.027759432265846987,0.01772431010524185,0.03895403141239021,0.004155076688279873,-0.0029403471075840314,0.014759146489697188,-0.0005003527680115416,-0.021973299028778735,0.033845313832749975,-0.033845313832749975,-0.04145885024500792,0.021647423767019554,0.0013783868638088685,0.050111639010934864,0.013312291138874905,0.005906490228807859,0.004465898204292174,-0.00973197975520615,0.010349135347188553,-0.0006691296428926649,0.004757130103886741,0.010198983687750547,-0.006342411790159981,0.001602842828695191,-0.020017609552403212,-0.007040302295623158,0.009587920695782345,0.008796314975521613,0.000274094987851927,0.013134884789732383,0.004188639860994306,-0.0008546133610377384,0.005261352004291962,-0.004117346744321557,0.017719473438206228,0.0056928636785618,-0.009901066052602927,0.00839993222510985,-0.0014813460845342972,0.015980967008241385,0.005191253952317893,-0.0022602958842641747,0.006213226422073548,-0.0021985845750956763,0.006213226422073548,0.008438031638895881,0.00048522707203238556,0.012810099851795022,-0.0019415298628455665,0.0021167576733300783,-0.004934514706065942,0.003003216213708236
workclass_1,0.013618838149645316,0.019905124057803963,-0.022311435506909574,0.10481508872309722,-0.003343999764540333,-0.002321641249779702,-0.030717429962862742,-0.3097830048904349,1.0,-0.05069394676985094,-0.05385646959478691,-0.0602466455360649,-0.03898470760665447,-0.03573328910181517,-0.0029422813961305005,-0.004264251134646024,-0.0039058627778034514,-0.003682423309580713,0.014230056078491494,0.001754201601812139,-0.008713678897230268,-0.0004341633586782626,0.0018835508265053421,0.017360469585665957,-0.01720774300201125,-0.0029902591729971304,-0.050789939066538295,-0.033491963220326354,-0.0667080373037889,-0.048275020965265106,0.04798310649191105,0.01261911357502671,0.11828491572663252,-0.04461759734076609,0.09987093815511508,-0.021384368308396372,-0.01450861679239186,-0.0036037285510848783,-0.017048519738946118,0.017951731936297254,-0.005641438962563434,0.005090588808207511,0.009527832340957497,-0.01686052907971643,-0.024126956836699708,0.01817046189171353,-0.0028202309398519905,0.01761497737651941,0.004185778911092136,0.02342800831091419,-0.02342800831091419,0.02127834415391236,-0.011601010058159915,0.0001902206063977354,-0.02446650435260061,-0.003971726420912845,-0.0013012353025206834,-0.0027618451133216357,-0.005760655789796737,-0.005866809724007174,-0.010944443650527637,-0.0005882368179416301,-0.005661156555966789,-0.004162333590553146,-0.002345858911773275,-0.00784703784344656,-0.006515619901426094,-0.0036045378642187887,-0.006159575493268758,0.016741818264702082,-0.006312817964479333,-0.004816152772644853,-0.005061580288003255,-0.0017508750594053758,0.0026341399382231157,-0.00873519634592377,0.0032809900328269817,0.012423109471905844,-0.003237169446332776,-0.0009081173855694066,-0.009451848827373115,0.0007422283710961722,0.020332151305833705,-0.004462784747945613,-0.0020147827405413827,0.00032117005439750816,0.0005980757333730568,-0.00041993219847050574,-0.002897838516260199,0.006098684348531282,-0.004462784747945613,-0.004056028811839412,-0.0009303453430182118
workclass_2,-0.08356732944325809,-0.015960203223252315,-0.007370921211276335,-0.06862355665303216,-0.019764503212387995,-0.012620688011486367,-0.16272279040591892,-0.3714845610330094,-0.05069394676985094,1.0,-0.06458342339755896,-0.0722463734851822,-0.04674955295685242,-0.042850527649017894,-0.0035283152904521313,-0.005113590596904312,0.05833349115770157,-0.06284689105059743,-0.028571994757920383,0.0047129349441950436,0.06853175358596311,0.006263737523448301,0.009219644953459812,-0.0430658421084951,-0.05549442276297981,-0.08254833902027735,0.9981100135489116,-0.05189563535079128,-0.08786672160315431,-0.09324914728847813,-0.08882641537082975,-0.09302230197154732,-0.09377158999986655,-0.0633197702386221,-0.035335772624642055,-0.043736458474219045,-0.01739839518382907,-0.0043215073059136196,0.10546785291008366,-0.011097820470391533,-0.075203672521306,0.023724684671122622,-0.010261272192066977,0.009526523276997965,-0.020583385563039697,0.004541854311150618,0.007502841564641084,0.01720446890423339,0.007277812688001279,0.06400996694764667,-0.06400996694764667,0.005257704174470273,-0.0013823319191424784,-0.0020880870490496894,-0.004143349863806611,-0.005577160769612399,0.0021188234615683865,0.0038288222055293335,0.012390061772962098,-0.002220858412701491,-0.004826610333795692,0.0014550998064672474,-0.0035870526317537833,-0.0009665393208650484,0.0012488284601062487,0.013467133658507092,-0.007813379561591142,-0.003954419314944865,-0.00405180988468819,0.0035444772769391984,-0.004698483621034884,0.002761770320956244,-0.0019347194269787994,-0.00461623668012291,0.0016239025177933717,-0.006320783505801248,0.00099829055166447,0.015162183458413693,-0.005030891030357432,-0.0025570913299452747,0.00018694348994544849,-0.000864488163484206,-0.00738358119686587,0.00276881477469616,-0.0005613282280290412,-0.0012914263525656724,-0.0016805641566869092,-0.0020510366520306695,-0.005819909983934796,-0.0006363125763120155,-0.005351667479827505,-0.00039684175632901704,-0.0011156484568366205
